学号,姓名,性别,年龄,邮箱,组名
0,崔昊元,女,18,714538602@qq.com,萝卜
1,贾靖程,女,18,742850136@qq.com,黑马
2,吴俊岳,男,18,130574268@qq.com,萝卜
3,王浩羽,男,18,872403561@qq.com,叶原枫
4,吕梦丽,女,18,528760341@qq.com,黑马
5,牛皓冬,男,18,370246158@qq.com,Style
6,张阔,男,18,352806147@qq.com,叶原枫
7,孙佳奇,男,18,706583241@qq.com,Style
8,郑佳睦,男,18,781503246@qq.com,叶原枫
9,王孝天,男,18,408123657@qq.com,萝卜
10,付一鸣,男,18,278143506@qq.com,Style
11,李蓉轩,女,18,187426053@qq.com,黑马
12,陈观绅,男,18,860524371@qq.com,叶原枫
13,赵鑫博,男,18,473581206@qq.com,萝卜
14,张子豪,男,18,175324086@qq.com,萝卜
15,叶平,男,18,540726381@qq.com,Style
16,杨悦欣,女,18,234510867@qq.com,黑马
17,李博远,男,18,750486321@qq.com,Style
18,张靖薇,女,18,741825630@qq.com,黑马
