学号,姓名,性别,年龄,邮箱,组名
0,崔昊元,女,18,724803165@qq.com,萝卜
1,贾靖程,女,18,834172650@qq.com,黑马
2,吴俊岳,男,18,420681753@qq.com,萝卜
3,王浩羽,男,18,037541826@qq.com,叶原枫
4,吕梦丽,女,18,427185306@qq.com,黑马
5,牛皓冬,男,18,073546182@qq.com,Style
6,张阔,男,18,360852174@qq.com,叶原枫
7,孙佳奇,男,18,065481327@qq.com,Style
8,郑佳睦,男,18,851724306@qq.com,叶原枫
9,王孝天,男,18,623470185@qq.com,萝卜
10,付一鸣,男,18,652780413@qq.com,Style
11,李蓉轩,女,18,650127483@qq.com,黑马
12,陈观绅,男,18,684703512@qq.com,叶原枫
13,赵鑫博,男,18,134260785@qq.com,萝卜
14,张子豪,男,18,305218476@qq.com,萝卜
15,叶平,男,18,314506728@qq.com,Style
16,杨悦欣,女,18,861345270@qq.com,黑马
17,李博远,男,18,675184032@qq.com,Style
18,张靖薇,女,18,167340852@qq.com,黑马
